SampleIndex,SepalLength,SepalWidth,PetalLength,PetalWidth,Cluster
0,5.1000,3.5000,1.4000,0.2000,2
1,4.9000,3.0000,1.4000,0.2000,2
2,4.7000,3.2000,1.3000,0.2000,2
3,4.6000,3.1000,1.5000,0.2000,2
4,5.0000,3.6000,1.4000,0.2000,2
5,5.4000,3.9000,1.7000,0.4000,2
6,4.6000,3.4000,1.4000,0.3000,2
7,5.0000,3.4000,1.5000,0.2000,2
8,4.4000,2.9000,1.4000,0.2000,2
9,4.9000,3.1000,1.5000,0.1000,2
10,5.4000,3.7000,1.5000,0.2000,2
11,4.8000,3.4000,1.6000,0.2000,2
12,4.8000,3.0000,1.4000,0.1000,2
13,4.3000,3.0000,1.1000,0.1000,2
14,5.8000,4.0000,1.2000,0.2000,2
15,5.7000,4.4000,1.5000,0.4000,2
16,5.4000,3.9000,1.3000,0.4000,2
17,5.1000,3.5000,1.4000,0.3000,2
18,5.7000,3.8000,1.7000,0.3000,2
19,5.1000,3.8000,1.5000,0.3000,2
20,5.4000,3.4000,1.7000,0.2000,2
21,5.1000,3.7000,1.5000,0.4000,2
22,4.6000,3.6000,1.0000,0.2000,2
23,5.1000,3.3000,1.7000,0.5000,2
24,4.8000,3.4000,1.9000,0.2000,2
25,5.0000,3.0000,1.6000,0.2000,2
26,5.0000,3.4000,1.6000,0.4000,2
27,5.2000,3.5000,1.5000,0.2000,2
28,5.2000,3.4000,1.4000,0.2000,2
29,4.7000,3.2000,1.6000,0.2000,2
30,4.8000,3.1000,1.6000,0.2000,2
31,5.4000,3.4000,1.5000,0.4000,2
32,5.2000,4.1000,1.5000,0.1000,2
33,5.5000,4.2000,1.4000,0.2000,2
34,4.9000,3.1000,1.5000,0.1000,2
35,5.0000,3.2000,1.2000,0.2000,2
36,5.5000,3.5000,1.3000,0.2000,2
37,4.9000,3.1000,1.5000,0.1000,2
38,4.4000,3.0000,1.3000,0.2000,2
39,5.1000,3.4000,1.5000,0.2000,2
40,5.0000,3.5000,1.3000,0.3000,2
41,4.5000,2.3000,1.3000,0.3000,2
42,4.4000,3.2000,1.3000,0.2000,2
43,5.0000,3.5000,1.6000,0.6000,2
44,5.1000,3.8000,1.9000,0.4000,2
45,4.8000,3.0000,1.4000,0.3000,2
46,5.1000,3.8000,1.6000,0.2000,2
47,4.6000,3.2000,1.4000,0.2000,2
48,5.3000,3.7000,1.5000,0.2000,2
49,5.0000,3.3000,1.4000,0.2000,2
50,7.0000,3.2000,4.7000,1.4000,1
51,6.4000,3.2000,4.5000,1.5000,0
52,6.9000,3.1000,4.9000,1.5000,1
53,5.5000,2.3000,4.0000,1.3000,0
54,6.5000,2.8000,4.6000,1.5000,0
55,5.7000,2.8000,4.5000,1.3000,0
56,6.3000,3.3000,4.7000,1.6000,0
57,4.9000,2.4000,3.3000,1.0000,0
58,6.6000,2.9000,4.6000,1.3000,0
59,5.2000,2.7000,3.9000,1.4000,0
60,5.0000,2.0000,3.5000,1.0000,0
61,5.9000,3.0000,4.2000,1.5000,0
62,6.0000,2.2000,4.0000,1.0000,0
63,6.1000,2.9000,4.7000,1.4000,0
64,5.6000,2.9000,3.6000,1.3000,0
65,6.7000,3.1000,4.4000,1.4000,0
66,5.6000,3.0000,4.5000,1.5000,0
67,5.8000,2.7000,4.1000,1.0000,0
68,6.2000,2.2000,4.5000,1.5000,0
69,5.6000,2.5000,3.9000,1.1000,0
70,5.9000,3.2000,4.8000,1.8000,0
71,6.1000,2.8000,4.0000,1.3000,0
72,6.3000,2.5000,4.9000,1.5000,0
73,6.1000,2.8000,4.7000,1.2000,0
74,6.4000,2.9000,4.3000,1.3000,0
75,6.6000,3.0000,4.4000,1.4000,0
76,6.8000,2.8000,4.8000,1.4000,0
77,6.7000,3.0000,5.0000,1.7000,1
78,6.0000,2.9000,4.5000,1.5000,0
79,5.7000,2.6000,3.5000,1.0000,0
80,5.5000,2.4000,3.8000,1.1000,0
81,5.5000,2.4000,3.7000,1.0000,0
82,5.8000,2.7000,3.9000,1.2000,0
83,6.0000,2.7000,5.1000,1.6000,0
84,5.4000,3.0000,4.5000,1.5000,0
85,6.0000,3.4000,4.5000,1.6000,0
86,6.7000,3.1000,4.7000,1.5000,0
87,6.3000,2.3000,4.4000,1.3000,0
88,5.6000,3.0000,4.1000,1.3000,0
89,5.5000,2.5000,4.0000,1.3000,0
